Ano;Mês;UF;Precipitação Total;Temperatura Média
2015;Janeiro;Tocantins;1611.2;25.12
2015;Fevereiro;Tocantins;2044.8;23.43
2015;Março;Tocantins;2914.2;23.51
2015;Abril;Tocantins;2086.2;21.13
2015;Maio;Tocantins;581.4;21.35
2015;Junho;Tocantins;9.2;24.68
2015;Julho;Tocantins;55.8;24.51
2015;Agosto;Tocantins;6.0;23.79
2015;Setembro;Tocantins;281.4;26.7
2015;Outubro;Tocantins;823.2;27.7
2015;Novembro;Tocantins;1524.6;24.89
2015;Dezembro;Tocantins;1079.4;22.14
2015;Janeiro;Espírito Santo;88.4;24.8
2015;Fevereiro;Espírito Santo;895.6;23.82
2015;Março;Espírito Santo;764.8;23.33
2015;Abril;Espírito Santo;491.4;21.83
2015;Maio;Espírito Santo;1082.6;20.61
2015;Junho;Espírito Santo;895.6;19.06
2015;Julho;Espírito Santo;287.8;20.44
2015;Agosto;Espírito Santo;373.8;20.36
2015;Setembro;Espírito Santo;388.0;22.46
2015;Outubro;Espírito Santo;357.8;21.61
2015;Novembro;Espírito Santo;572.6;24.3
2015;Dezembro;Espírito Santo;709.4;26.52
2015;Janeiro;Minas Gerais;3511.4;23.0
2015;Fevereiro;Minas Gerais;8882.4;21.64
2015;Março;Minas Gerais;8544.2;21.21
2015;Abril;Minas Gerais;3813.0;20.62
2015;Maio;Minas Gerais;2958.4;19.29
2015;Junho;Minas Gerais;841.2;18.93
2015;Julho;Minas Gerais;486.4;19.35
2015;Agosto;Minas Gerais;479.8;19.96
2015;Setembro;Minas Gerais;2978.2;22.76
2015;Outubro;Minas Gerais;3052.4;24.7
2015;Novembro;Minas Gerais;9413.4;23.77
2015;Dezembro;Minas Gerais;8446.6;23.39
2015;Janeiro;Rio de Janeiro;1200.6;24.94
2015;Fevereiro;Rio de Janeiro;1839.4;24.03
2015;Março;Rio de Janeiro;2227.0;23.09
2015;Abril;Rio de Janeiro;1477.8;21.46
2015;Maio;Rio de Janeiro;956.6;19.03
2015;Junho;Rio de Janeiro;1128.4;18.4
2015;Julho;Rio de Janeiro;347.0;20.15
2015;Agosto;Rio de Janeiro;258.6;19.91
2015;Setembro;Rio de Janeiro;1747.4;20.99
2015;Outubro;Rio de Janeiro;878.8;20.22
2015;Novembro;Rio de Janeiro;3068.2;22.06
2015;Dezembro;Rio de Janeiro;2109.0;23.25
